ASIN,OVERALL,ReviewText,ReviewTime,ReviewerID,ReviewerName,Summary,UnixReviewTime,Helpful
'5555991584,5,This is my favorite Enya album having to do more with a part it played in my life than just its stunning contents.  I listened to The Memory of Trees constantly during a very blue period of my life when I got my heart broken for the first time.  All of the myriad emotions running through me found a voice in songs like Hope Has a Place and Once You Had Gold.  Even On My Way Home tugged at my heart; it conjured up hope in the wake of a bittersweet seperation.  And if that were not enough I felt the reverberation of Tea-House Moon and the title track in the core of my being.  Through it all there was Enya an artist without parallel.  Her grace serenity and raw emotion washed over me healing my bruised and fragile heart.Sorry for the soppy sentimental words but this is the God-honest truth.  I like each and every one of Enya's albums some more than others but The Memory of Trees will always stand apart from the rest for me personally.  Some people will find the album too sad and bittersweet but I'm convinced that more will treasure it for a long time to come.,03 24 2007,A3U7E2BOFLD3VM,cherubino,'an album of personal relevance,'1174694400,7 \  7
'5555991584,4,I've had this CD for years and EVERY time I travel anywhere it comes with me.This is not to say that I don't like the CD or I think it's boring. I love the CD and often listen to it at other times however the reason it's stayed one of my favorites is that it can send me peacefully to sleap within 4 tracks no matter where I am or what troubles I have.The ultimate relaxing CD... great white noise for studying reading writing or just thinking about the world.,01 4 2003,A329OO2GZFGM83,"""cinders666""",'Excelent sleaping music!,'1041638400,1 \  1
'5555991584,4,"Enya despite being a successful recording artist doesn't have the broad appeal as other artists; one reason might be that her kind of music is not very pop station friendly while another reason could be people think they're too ""macho"" for music that she makes. But people with open minds could find there's some beautiful melodies and harmonies as well as lively upbeat tunes that are a joy to put on. I find the Memory of Trees to be one of her most consistent albums; plus it helps it has probably one of my top 5 favorite songs ever.The Memory of Trees: Like all of her records (except the recent Amarantine) the albums open with a wordless instrumental and this album's title track is probably my favorite with gentle piano arpeggios and a beautiful vocal track. I always like the sparse use of percussion. 9/10Anywhere Is: The lively single; it's actually a good sing-along with staccato beats and a great chorus. It's also a perfect length since it's under 3 minutes so whereas some pop songs drag after awhile this one hooks you in then lets you go leaving you wanting more. 9/10Pax Deorum: Another album another ominous Latin-sung piece. The music sounds like something you'd hear in enemy territories in video games while Enya gives a low-voice almost monotone performance over the music. Slightly repetitive until a 2nd higher voice comes in but the piece hits its stride halfway with a gorgeous bridge. 8/10Athair Ar Nearmh: There's some songs she does where it's more about the song itself rather than a poppy catchy quality a la Only Time and this song's similar. Another ballad with some of her best singing it's a more low-key track but it's also one of the album highlights. 8.5/10From Where I Am: Another instrumental; this one's a more piano-based piece that would be a nice song to learn for all pianists out there since it's not technically complex or fast but it's pleasant to listen to. 7.5/10China Roses: There's only a handful of songs I could have on repeat and never get sick of them and this is one of them. Everything from the vocals and background instrumentation the lyrics and not to mention one of the most relaxing and almost tranquil ending codas I've ever heard this is definately my favorite song on here plus her whole career even. 15/10Hope Has a Place: For me any song after China Roses will probably suffer a tad but this song doesn't do much for me. Granted her vocals are as great as always and the song has a nice relaxing mood but either this kind of track is too familiar (a kind of Athair part 2 if you will) or it's just not as memorable. 7/10Tea-House Moon: Very oriental in its instruments it's another wordless song although it's more enjoyable than From Where I Am is mainly because the melodies are more memorable and it's a bit more song-oriented. It's different but strangely likable. 8/10Once You Had Gold: We're getting into the album's final stretch and the problem is that with this one it's a more quieter affair as you can feel the album almost winding down. With Enya's more higher vocals (for some reason reminiscent of her Silent Night rendition) it's another beautiful track but it's also a bit...same-y? 8/10La Sonadora: Spanish lyrics for once it's another slower paced track complete with ""aahs"" for background vocals and synths but again the album could've benefited from a more perkier track. I do like what it does at the halfway point and gives the track a little boost. 7.5/10On My Way Home: A church organ opens the track and with a more bouncy synth you'd think it was a bit more upbeat. While it's not as lively as her vocals on Anywhere Is it does give the album a bit more memorable closer especially when the chorus comes where the track gets more fuller in its arrangements. 9/10While A Day Without Rain or Watermark is usually marked as one of her best (probably because her big hits Only Time and Orinoco Flow were on them) I find the Memory of Trees a more likable album and despite a lack of more upbeat tracks it's still one of her finest outings.",01 17 2008,A1AISPOIIHTHXX,"Cloud ""...""",'4.5; music to dream to,'1200528000,1 \  1
'5555991584,4,In Memory of Trees is yet another great effort from this exquisite lady. Take this one with you as you hike through the forest during a misty sunrise. Trust me I've tried it. My favorite track is &quot;Athair Ar Neamh&quot; whatever that means. This is a must for all Enya fans. Her voice gently sooths the soul after a hectic day.,09 26 2000,A3LDUEO8JG37RP,"""crimson_glory2001""",'Enya WILL Remove You From This Earth...,'969926400,1 \  1
'5555991584,5,"This album is so hauntingly beautiful.  It reminds me of how the Celts and Druids would endow trees with human and other life characteristics.  Now...every time I prune a tree I expect it to say ""ouch!"" or when I walk by a tree I expect it to reach out to me.  Listening to this album especially after consuming a quart or more of good Irish whiskey is a delight.  I remember trees and I am sure after listening to this album that they remember me also.  Definitely a buy!  Cuckoo ForCeltic",06 23 2005,A3KPOJ41SW91C5,"Cuckoo ForCeltic ""Magoo""",'Makes You Appreciate Foliage - Great!!,'1119484800,4 \  4
'5555991584,5,"Enya is such a wonderful artist truly given a gift from God!! Every song on this album is a delight to listen to. ""Once You Had Gold"" is a song I'm actually using in a fanfiction story I'm writing and I hardly ever do ""songfics."" But this song is so beautiful and poignant and angsty that it fits perfectly with the message I'm trying to get across.Other special favorites are the title song Anywhere Is Athar Ar Neamh China Roses . . . Okay let's just say the whole album is a classic!!! I'm not really into new age music but Enya is different! You will not go wrong buying her albums and especially this one is a must-have!!",06 19 2003,A3C373QJGPWMLS,Daisy Hunt,'Beautiful and inspiring!!!,'1055980800,1 \  1
'5555991584,5,Who knows why I initially considered this to be a duff album by the woman with the most beautiful voice in the world.  Maybe I was expecting Shepherd's Moon Part II and saw Memory Of Trees as Shepherd's Eclipse.  The songs didn't leap out to me?  Well listening to it for this review it finally did and I've embraced it like I have her other albums.  The four years inbetween albums was worth it.Of the opening instrumental title tracks &quot;The Memory Of Trees&quot; is the most potent sporting the usual instrumentals pianos haunting wall-of-sound choir-like vocals pounding drums recalling &quot;The Longships&quot; from Watermark.The brisk &quot;Anywhere Is&quot; whose dominant tempo reminds me of a horse having a gentle canter down a park is backed by strings and backing vocals.  There's an interesting motif in the first line of her reaching a horizon but finding another where something that looks like an end is actually a new beginning.  Bit like life isn't it?&quot;Pax Deorum&quot; is a Latin track begins with a cold dark wind which sets the grim bass pulsing keyboard permeating throughout the song as well as an ominous sound that sounds a bit like a foghorn though not as loud or brash.  This part sounds a bit like an incantation.  Her voice alternates between a soft but lower register and her full vocals.The piano (and later some other instrument) ballad &quot;Athair Ar Neamh&quot; is a sad but beautiful sung tune full of yearning.  Makes me want to learn Gaelic.  My favourite song here and Enya sounds her best singing like this.The wistful reflective piano only instrumental &quot;From Where I Am&quot; is a variation of &quot;Miss Clare Remembers&quot; from Watermark with some shades of &quot;Epona&quot; from the Enya album.&quot;China Roses&quot; is one of her visual and visionary poetic songs and it's an enchanting delight to hear.  I see melodic strains of what would later become &quot;Only Time.&quot;  That wall of sound really enhances her vocals and the following lyrics really create the image of a dreamland:  &quot;A new moon leads me to/woods of dreams and I follow/a new world waits for me/my dream my way&quot; and &quot;Rain and river a world of wonder/may be paradise to me&quot;.  Gosh how I love this woman!OK all you romantics.  &quot;Hope Has A Place&quot; is the song for you.  Enya's vocal echoes hauntingly here and that dreamy wall of sound is in full bloom.  And how's this for some sagely advice:  &quot;Look to love/you may dream/and if it should leave/then give it wings/But if such a love is meant to be/Hope is home and the heart is free.&quot;  I can't decide whether I like this better than &quot;Athair Ar Neamh.&quot;The third instrumental &quot;Tea-House Moon&quot; has some Oriental strains with some otherworldly synths and conjures the image of one looking up at the stars.  As for the title a nod to Teahouse Of The August Moon set in post-WW2 Japan and starring Machiko Kyo?&quot;Once You Had Gold&quot; is a proverbial seasons come seasons go type and has a mystical sense of why things go wrong:  &quot;No-one can promise a dream for you/Time gave both darkness and dreams to you.&quot; and &quot;What is the dark shadows around you/why not take heart in the new day?&quot;&quot;La Sonadora&quot; is her first Spanish song and it's more an interlude.  The backing wall of music rise to a crescendo in the song's midsection.A reminiscing night traveller's thoughts comprise &quot;On My Way Home&quot; where &quot;I remember all the best days/I'm on my way home/I can remember every new day&quot; is surrounded by the dreamy wall of sound.Compared to her first three albums Enya's voice is more mesmerizingly beautiful than I've ever heard.  She seems to be a one-woman band here as it's &quot;all instruments and vocals by Enya&quot; per the credits.  There's more a wall of dreamy sound here--check out how many times I've mentioned this.  Repeated listenings will tell whether it'll dislodge Shepherd's Moon as my favourite Enya album.,07 30 2003,A2P49WD75WHAG5,Daniel J. Hamlow,'Dreamy unearthly magic continues with Eire's one and only!,'1059523200,62 \  65
'5555991584,5,Once in a while I'll hear music that affects me so deeply that I &#34;have to have it&#34; at any possible moment - this is one of those. I have it on CDs at work and at home as well as on my phone's MP3 player. Incidentally it sounds PHENOMENAL when I feed that MP3 player through the car's stereo system.I've been a fan of Enya's since &#34;Oronoco Flow&#34; but this is in my opinion the best thing she's ever done.,02 6 2013,A3E01TCN1TDRUL,datadame,'blood pressure medicine I can hear,'1360108800,0 \  0
'5555991584,5,Replacing lost albums and this was one of them Enya was a big part of my old collection and will be again.,11 24 2013,A18Q37K17WY0VY,Deb,'Loved it then and love it now.,'1385251200,0 \  0
'5555991584,5,Over the past few years this album has been used to cheer me up and calm me down. It is one of the fwe albums that I have had for about five years and am not ashamed of nowadays. A very escapist chilled album to listen to whenever you don't want to be disturbed. This abum will carry you through every mood and atmosphere and leave you feeling refreshed.,01 25 2002,A3DIPLMXQ10QVT,Decstar,'wet,'1011916800,3 \  5
'B00LOMZDM8,5,It's awesome,07 18 2014,A1MEIIBYDG0S2L,Samuel Sargunam,'Five Stars,'1405641600,0 \  0
'B00LOMZDM8,5,I AM DAVE YOGNAUT AND I HAVE THE BALLS!,07 11 2014,A3ZRYLHHETL09,Tim Rosco,'Dave here,'1405036800,14 \  18
'B00LOMZDM8,5,The Yogscast have done it again.  Another amazing song that I already can't get enough of.  Happy dance!,07 11 2014,A1Q4NMW2803Q79,Whitney Swink,'10 out of 10 YogStars!,'1405036800,2 \  2
'B00LP8WLDU,5,Great song once you hear it you feel like dancing!,07 18 2014,A2WQ19BTGUUZUS,Ernesto Fernando,'Five Stars,'1405641600,0 \  0
'B00LP8WLDU,5,Awesome jam if you like Alternative Indie Pop Electronica music. Featured on the new Cadillac commercial. Worth a listen!,07 11 2014,A1D62MPB446UG8,Luigi Chincochento,'Five Stars,'1405036800,0 \  0
'B00LPG4KAO,5,The best song by SkoolkidD so far in my opinion other than Fade. This record is so lyrically smart it has that old school sounds to it with the scratch samples. Really something id recomend everyone to buy and share with your friends.,07 22 2014,A1MYBY591OFIXK,Edgar,'The best song by SkoolkidD so far in my opinion other ...,'1405987200,0 \  0
'B00LPGRZA6,3,Very nice blues number,07 16 2014,A7F1UP6YYVL44,Karen M. Caffiero,'Three Stars,'1405468800,0 \  0
'B00LPGYCWK,5,Former Transentience vocalist Melaina Mulder's voice is as usual beautiful on this haunting CD. I am so happy to hear her again!,07 14 2014,A33OOR5DBYDR97,"M. Collins ""Magnoire LaChouette""",'Beautiful Music!,'1405296000,0 \  0
'B00LPQENZQ,5,To boldly go where 18 musicians dare to go... Astrometric Star's THE ROAD HOME a musically intelligent ride that travels adeptly through contemporary jazz pop rock and R&B on this new collection of cleverly arranged tunes contributed to by L.A.'s top musicians&#8230; Astrometric Star's THE ROAD HOME an instrumental album created by arranger and producer Lee Gianangelo celebrates both original compositions and outstanding covers including a mini tribute to Steely Dan with five of their titles woven into this release.  Smooth Jazz fans will delight with the album's first single &#34;Valdez In the Country&#34; as well as &#34;Rosalinda&#34; and a grooving' cover of &#34;Low Rider&#34; plus much more. THE ROAD HOME is a cool diverse musical offering with an emphasis on dynamic treatments and arrangements! ~Sandy Shore,07 16 2014,A3VUSL1BSWE764,Sandy Shore,'SmoothJazz.com Review,'1405468800,0 \  0
'B00LPQI5R8,5,This song is a blessing. It definitely has a healing element.,07 15 2014,ARYH56RRZWHZ0,MyHeartsMelody,'Five Stars,'1405382400,1 \  1
'B00LPXAGV4,5,Finally one of my favorite Electronic Pop albums is available! SSQ was a very influential Techno band from SoCal at the time of Missing Persons and Berlin. The Canadian born band leader and producer  Jon St. James helped shape Berlin's techno pop sound in his studio Casbah. Playback was originally on Enigma Records and then picked up by EMI America just before the label folded. SSQ was left out in the cold and the album which is amazing got little to no promotion. Transatlantic the solo album by St. James was released just after SSQ and suffered the same fate. &#34;The Girl Who Seduced the World&#34; which was on the Transatlantic album is included on this version of Playback which makes me think it was originally an SSQ song. The only previous release of Playback was vinyl and had only 8 songs. This re-mastered version has 14 songs including two versions of Tonight (we'll make love until we die) from the cult horror movie Return of the Living Dead. SSQ's sound is Electronic pop with a Euro twist and undercurrent of American rock and topping it off the sultry sexy voice of beautiful ingenue Stacey Swain later known as Stacey Q (Two of Hearts). SSQ's influence on the Electronic Techno Pop genre can not be understated. This release is a treasure. Re-mastering is quite good: Highly recommended.,07 15 2014,AVITQOKP6DYKX,Upgrade,'Finally one of my favorite Electronic Pop albums is available,'1405382400,0 \  0
'B00LQ8DG24,5,I read about Lena Fayre in a Rolling Stone article that billed her as an artist you need to know and I really liked the songs from her self-titled EP. I signed up for her newsletters and got one earlier today that said that she has a new single out so I listened to the preview and decided to buy it. I Am Not A Man is a wonderful song performed beautifully by a 17-year singer with a distinctive voice that draws you into the music in a memorizing way. I am glad that I found her. Highly recommend.,07 12 2014,A61Y571LEB8S2,"ApplePie4Me ""ApplePie4Me""",'She's The Real Deal,'1405123200,0 \  0
'B00LQ92A20,5,Holy cow can he sing.  IMO this is as good as the original maybe better. Awesome.,07 14 2014,A5A8DFNJAQC7J,"bjm gator ""bjm gator""",'IMO this is as good as the original,'1405296000,0 \  0
'B00LQ92A20,5,A TRUE Rising Star!,07 16 2014,A3H6QZK9OUIT9O,"Catherine Bonaccorsi ""tough customer""",'Five Stars,'1405468800,0 \  0
'B00LQ92TE4,5,While exactly one-minute shorter than the primary Womack version and missing the incredible cello as well as back-up singers I was surprised that a cover could be better than the original!  I still love both versions (I could have written this song before and following my 13-year Life Crash of self-hatred a six-month Life Crash of being risk averse and a two-year Murphy type Life Crash) but I'm glad that Mark D. Sanders and Tia Sillers Purcell did write it.  It is always an exciting pleasure to teach the 12-week workshop that this song Inspired.  I've got a feeling that no matter what happened the world (at least Nashville) has just begun to hear from Sarah Darling.  &#34;Winning&#34; doesn't always matter.  I'll add this version to the end of my very Positive full playlist that I hope will be played after my funeral.,07 14 2014,AGNBUNMKIHYEM,"Russell A. Ligeikis ""&#34;Diamond Chaser&#34;""",'I was surprised that a cover could be better than the original,'1405296000,0 \  0
'B00LQLPTXK,5,Great tune. Live the combo of EDM in corporate worship tune. So well done.,07 15 2014,A2Q75UQYFAYPGW,Amazon Customer,'Breaks new ground. So fresh.,'1405382400,0 \  0
'B00LQLPTXK,3,Nice.,07 15 2014,AN217IYNVARM7,Audrey Velazquez,'Three Stars,'1405382400,0 \  0
'B00LQUW3BC,5,i love it !,07 21 2014,A3N3DV79BBOE5C,aziz rahmani,'Five Stars,'1405900800,0 \  0
'B00LTFDZXE,5,My jam Yo gotti never fails to speak the truth,07 20 2014,A3HJS000P7AC0Q,shyrod williams,'Five Stars,'1405814400,0 \  0
'B00LTL4VGI,5,Love the song....way to go....another hit...,07 22 2014,A1BSP3G2B7UNBK,Krysten Stephens,'Wonderful song,'1405987200,0 \  0
'B00LWCRAQ2,5,"""A demon pianist."" - THE BOSTON GLOBE",07 20 2014,A3LV9NGAOMV9NN,Reviews,'Five Stars,'1405814400,0 \  0
'B00LWJDZHI,5,A must have love this song. # BBN589,07 23 2014,A1QP5WSKUYZUMG,Angela Martin,'A Must Have,'1406073600,0 \  0
'B00LWJDZHI,5,i love this song! the lyrics mean so much! Im so proud of her....she has her moms voice and u can hear it in certain parts of the song but i know that with pratice she'll be great! Rootin for you babygirl! ARRIBA LAS PARRANDERAS!!!,07 22 2014,A3LWJETAAAD4OU,chris,'The seed of the best!!!,'1405987200,0 \  0
'B00LWJDZHI,5,Amazing song from a amazing girl,07 18 2014,A38NRGVVEF3950,gia r.,'Five Stars,'1405641600,0 \  0
'B00LWJDZHI,5,I Love it!!!BBN1334,07 23 2014,A36ZEAXJ5HMQXA,Jenira,'Love it!!,'1406073600,0 \  0
'B00LWJDZHI,5,Love it!!! I can see she is working hard to get better every day... all I can say she is gonna get far In this industry&#128077; keep up the good work Chiquis Rivera,07 21 2014,A1840L5R4OPDE4,leo,'Chiquis Rivera &#128077;&#128077;,'1405900800,0 \  0
'B00LWJDZHI,5,Love the song,07 20 2014,A1HGHLLGGGAQZX,Selene murillo,'Five Stars,'1405814400,0 \  0
'B00LWJDZHI,5,Amazing,07 22 2014,A2SWE776KGEYPI,Vince,'Five Stars,'1405987200,0 \  0
